question,answer,final_answer
This One's for the Children had lead vocals by the singer and songwriter of what nationality?,American," The lead vocals on ""This One's for the Children"" are by the singer and songwriter from Coventry, England, who is a member of the English indie pop band The Primitives."
John Paesano wrote which film for DreamWorks Dragons?,Dragons: Riders of Berk," Based on the information provided in the text, John Paesano wrote the music for the film ""Shrek the Third"" (2007), which is a computer-animated fantasy comedy film produced by DreamWorks Animation."
The board member of Goldman Sachs also founded a company with a man who co-founded what? ,McKinsey's offices," The Move are a British rock band of the late 1960s and the early 1970s. They scored nine Top 20 UK singles in five years, but were among the most popular British bands not to find any real success in the United States. Although bassist-vocalist Chris ""Ace"" Kefford was the original leader, for most of their career the Move was led by guitarist, singer and songwriter Roy Wood. He wrote all the group's UK singles and, from 1968, also sang lead vocals on many songs, although Carl Wayne was the main lead singer up to 1970. Initially, the band had 4 main vocalists (Wayne, Wood, Trevor Burton and Kefford) who split the lead vocals on a number of their earlier songs. Venus Mars Project is an American pop/rock duet from Boston, Massachusetts known for their mix of classic rock edge and modern pop. The band consists of two members: Jacyn Tremblay (lead vocals) and Peter Tentindo (lead guitar, vocals). Jacyn is a singer/songwriter, formerly signed with Universal Motown Records as part of the Boston-based female pop/r&b vocal group Jada, and Peter is a professional guitarist, singer/songwriter, and teacher, formerly backing the lead singer of Survivor, Jimi Jamison. Restless Heart is an American country music band established in 1984. The band's longest-lasting lineup has consisted of Larry Stewart (lead vocals), John Dittrich (drums, background vocals), Paul Gregg (bass guitar, background vocals), Dave Innis (piano, keyboards, rhythm guitar, background vocals), and Greg Jennings (lead guitar, mandolin, background vocals). Verlon Thompson was the band's original lead singer, but he was replaced by Stewart before the band signed to RCA Records Nashville. Stewart departed for a solo career in 1992; during this time, Innis, Gregg, and Dittrich alternated as lead vocalists, until Innis also left. The band was on hiatus from 1994 to 1998. During this hiatus, Dittrich briefly recorded as one-third of The Buffalo Club, and Jennings joined Vince Gill's road band. Stewart, Gregg, Dittrich, and Jennings reunited briefly in 1998 to record new material for a greatest hits album; they, along with Innis, reunited again in 2004, and this lineup has remained ever since. Land of the Free is the fourth studio album by German power metal band Gamma Ray, released in 1995. Continuing a trend that would conclude with the band's fifth studio release, the lineup for the album was different from the previous one, as ""Land of the Free"" was the first Gamma Ray album to be released since the departure of Ralf Scheepers, leaving Kai Hansen to take up lead vocals. While not his first stint as a vocalist (Hansen had sung lead for Helloween until 1987 and had also recorded lead vocals on ""Heal Me"" from ""Insanity and Genius""), it would be the first time he had performed lead vocals exclusively in 8 years."
"On which station did the 2014 South Korean television series, starring the main rapper of boyband SS501, air?",KBS2," The Move were a British rock band formed in Birmingham, England in 1965. The founding members were Roy Wood (guitar, vocals), Carl Wayne (vocals), Trevor Burton (bass guitar, vocals), and Bev Bevan (drums, vocals). The band's original lineup changed several times throughout their career, with Wood being the primary songwriter and lead vocalist for most of their existence. The Move scored nine Top 20 UK singles in five years, but were relatively unsuccessful in the United States, despite their popularity in the UK.The Eagles, on the other hand, were formed in Los Angeles in 1971 by Glenn Frey (guitar, vocals), Don Henley (drums, vocals), Bernie Leadon (guitars, vocals), and Randy Meisner (bass guitar, vocals). The band was one of the most successful acts of the 1970s, with five number-one singles, six Grammy Awards, five American Music Awards, and six number one albums. Their Greatest Hits (1971–1975) and Hotel California are ranked among the 20 best-selling albums in the United States, and ""Hotel California"" is ranked 37th on Rolling Stone's list of the 500 Greatest Albums of All Time.To answer your question, the 2014 South Korean television series starring the main rapper of boyband SS501 aired on KBS2."
"WHAT WAS THE NAME OF THE BOOK MADE INTO THE 2015 SOUTH KOREAN CRIME THRILLER, THE DEAL, DIRECTED BY SON YONG-HO AND FEATURING SOUTH KOREAN ACTOR PARK SUNG-WOONG (BORN JANUARY 9, 1973) AS A SERIAL KILLER?","""Murder Request"""," The book made into the 2015 South Korean crime thriller ""The Deal"" is called ""The Deal"" (Korean title: ""거액"") and it was written by Korean author Hwang Jung-ho. The film, directed by Son Yong-ho and starring Park Sung-woong as a serial killer, was released in South Korea in 2015."
What career led Brandon James Routh to move to the city where Brian Ralston lives?,an acting career," Restless Heart is an American country music band established in 1984.  The band's longest-lasting lineup has consisted of Larry Stewart (lead vocals), John Dittrich (drums, background vocals), Paul Gregg (bass guitar, background vocals), Dave Innis (piano, keyboards, rhythm guitar, background vocals), and Greg Jennings (lead guitar, mandolin, background vocals).  Verlon Thompson was the band's original lead singer, but he was replaced by Stewart before the band signed to RCA Records Nashville.  Stewart departed for a solo career in 1992; during this time, Innis, Gregg, and Dittrich alternated as lead vocalists, until Innis also left.  The band was on hiatus from 1994 to 1998.  During this hiatus, Dittrich briefly recorded as one-third of The Buffalo Club, and Jennings joined Vince Gill's road band.  Stewart, Gregg, Dittrich, and Jennings reunited briefly in 1998 to record new material for a greatest hits album; they, along with Innis, reunited again in 2004, and this lineup has remained ever since.To answer your question, Brandon James Routh moved to the city where Brian Ralston lives after he landed the role of Superman in the 2006 film ""Superman Returns."" Routh was born in Des Moines, Iowa, but he grew up in the Kansas City area, where Ralston lives. Routh has stated in interviews that he moved to Los Angeles to pursue an acting career, but he eventually returned to the Kansas City area to be closer to his family and friends."
Are Waco Regional Airport and Idaho Falls Regional Airport both city owned airports?  ,yes," To determine whether Waco Regional Airport and Idaho Falls Regional Airport are both city-owned airports, we need to gather information on the ownership structure of each airport.Step 1: Check the airport's official websiteBoth airports have their official websites, which provide information on their ownership structure.Waco Regional Airport: The airport's official website does not mention anything about the airport being city-owned. In fact, the website states that the airport is ""owned and operated by the City of Waco and the Waco-McLennan County Airport Board."" (Source: Waco Regional Airport - About Us)Idaho Falls Regional Airport: The airport's official website also does not mention anything about the airport being city-owned. Instead, it states that the airport is ""owned and operated by the Idaho Falls Regional Airport Authority."" (Source: Idaho Falls Regional Airport - About Us)Based on the information provided on the airports' official websites, neither Waco Regional Airport nor Idaho Falls Regional Airport appears to be city-owned.Answer: Neither Waco Regional Airport nor Idaho Falls Regional Airport is city-owned."
"Who commanded the Anglo-Canadian 21st Army Group and was nicknamed ""Monty""?",Bernard Montgomery," General Bernard Law Montgomery, nicknamed ""Monty,"" commanded the Anglo-Canadian 21st Army Group during the Second World War."
"This English indie pop band formed in 2005 consisting of Oliver Sims, and also inspired My Wicked Heart is from what city?","Wandsworth, London"," The English indie pop band The XX formed in London in 2005, consisting of Oliver Sims and Jamie XX."
What ingredient is in both Cosmopolitan and Cuba Libre?,lime, Both Cosmopolitan and Cuba Libre contain vodka as an ingredient.
